Company Name,Address,City,State,Zip,County,Phone Number,Fax Number,Company Contact,Contact Title,Employees,Revenue,Industry,SIC Code,SIC Code Description,Website
Reynolds & Rowella LLP,90 Grove St # 101,Ridgefield,CT,06877-4120,Fairfield,Not in Sample,Not in Sample,Frank A Rowella Jr,Partner,26,2600750,"Engineering, Management, Accounting, Research and Related Industries (Services)",8721,"Accounting, Auditing, And Bookkeeping",www.reynoldsrowella.net
Langley Oil Co,PO Box 113,Smackover,AR,71762-0113,Union,Not in Sample,Not in Sample,Jerry Langley,Owner,7,8344620,Gas and Oil Extraction (Energy),1311,Crude Petroleum And Natural Gas,
Novion Inc,18 L Hermitage Dr,Shelton,CT,06484-3829,Fairfield,Not in Sample,Not in Sample,Joe Cumpeilk,Owner,10,6246240,Wholesale Trade - Non-Durable Goods (Products),5169,"Chemicals And Allied Products, Nec",www.radonseal.com
Stamford Police-Animal Control,201 Magee Ave,Stamford,CT,06902-5927,Fairfield,Not in Sample,Not in Sample,,,3,0,"Legislative, Executive and General Government other than Finance (Government)",9121,Legislative Bodies,www.cityofstamford.org
Liberty Tax Svc,1315 Dixwell Ave,New Haven,CT,06514-4125,New Haven,Not in Sample,Not in Sample,Bob Moore,Owner,18,372400,Personal Services (Services),7291,Tax Return Preparation Services,www.libertytax.com
Preferred Properties,177 W Putnam Ave,Greenwich,CT,06830-5297,Fairfield,Not in Sample,Not in Sample,Carl Palermo,Manager,23,2647840,Real Estate (Housing),6531,Real Estate Agents And Managers,www.pproperties.com
Milano Self Storage,7 Orchard Park Rd,Madison,CT,06443-2273,New Haven,Not in Sample,Not in Sample,Joseph S Milano,Owner,4,906240,Building Construction - Operative Builders and General Contractors (Construction),1521,Single-Family Housing Construction,www.milanodevelopment.com
Curves For Women,515 Bridgeport Ave,Shelton,CT,06484-5366,Fairfield,Not in Sample,Not in Sample,Joe Chenoweth,Owner,7,533500,Personal Services (Services),7299,Miscellaneous Personal Service,www.sheltoncurves.com
Advantage Human Resourcing,2 Enterprise Dr # 303,Shelton,CT,06484-4656,Fairfield,Not in Sample,Not in Sample,Christa Baker,Manager,3,90900,Business Services (Services),7363,Help Supply Services,www.advhr.com
Marcus & Millichap Inc,265 Church St # 210,New Haven,CT,06510-7005,New Haven,Not in Sample,Not in Sample,Steve Witten,Manager,11,1353400,Real Estate (Housing),6531,Real Estate Agents And Managers,www.marcusmillichap.com
Connecticut Ctr For Continence,160 Robbins St,Waterbury,CT,06708-2652,New Haven,Not in Sample,Not in Sample,Sharon Ruleau,Manager,44,13904950,Health Services (Services),8011,Offices And Clinics Of Medical Doctors,www.urospec.com
Valley Lighting & Home Decor,3 Chestnut St,Ansonia,CT,06401-2318,New Haven,Not in Sample,Not in Sample,Frank Capasso,Owner,22,3142260,"Furnishing, Equipment and Home Furniture Stores (Stores)",5719,Miscellaneous Homefurnishings,www.valleyelectricsupply.com
Associated Boiler Line Eqpt Co,70 Raton Rd # A,Milford,CT,06460-1768,New Haven,Not in Sample,Not in Sample,Douglas Zuklie,President,13,2152700,"Watches and Clocks, Measurement, Analyzer and Control Instruments, and Photo and Medical Goods (Products)",3823,Process Control Instruments,www.ablecompany.com
Family Services Woodfield,500 Purdy Hill Rd,Monroe,CT,06468-1661,Fairfield,Not in Sample,Not in Sample,Lou Donne,Manager,1,0,Social Services (Services),8322,Individual And Family Services,www.fswinc.org
Crane Polyflon,1 Willard Rd,Norwalk,CT,06851-4414,Fairfield,Not in Sample,Not in Sample,William La Russo,President,26,0,"Electrical, Electronic and Components other than Computer Equipment (Equipment)",3669,"Communications Equipment, Nec",www.polyflon.com
Fellowship Inc,441 Elm St,New Haven,CT,06511-4511,New Haven,Not in Sample,Not in Sample,Frederick Morrison,Executive Director,21,0,Social Services (Services),8399,"Social Services, Nec",www.fellowshipplace.org
Higgins Group,142 Main St,Westport,CT,06880-3302,Fairfield,Not in Sample,Not in Sample,Richard Higgins,Owner,61,8120400,Real Estate (Housing),6531,Real Estate Agents And Managers,www.higginsgroup.com
Hyperion Solutions,900 Long Ridge Rd,Stamford,CT,06902-1128,Fairfield,Not in Sample,Not in Sample,Debra Fleig,Manager,1840,549036000,Business Services (Services),7372,Prepackaged Software,www.hyperion.com
International Union,1965 Dixwell Ave,Hamden,CT,06514-2400,New Haven,Not in Sample,Not in Sample,Ben Cozzi,President,11,0,Membership Organizations (Organizations),8631,Labor Organizations,www.local478.org
Blaire Corp,6 Landmark Sq # 400,Stamford,CT,06901-2711,Fairfield,Not in Sample,Not in Sample,Tom Jamison,Owner,14,4002480,Real Estate (Housing),6512,Nonresidential Building Operators,www.ctbizcenters.com
H H Perkins Inc,222 Universal Dr,North Haven,CT,06473-3600,New Haven,Not in Sample,Not in Sample,Raymond P De Francesco,President,10,2020000,Miscellaneous Repair Services (Services),7641,Reupholstery And Furniture Repair,www.hhperkins.com
Floyd R Harris LTD,1915 N Green Acres Rd,Fayetteville,AR,72703-2617,Washington,Not in Sample,Not in Sample,Jimmie Ames,Manager,15,1881000,Health Services (Services),8021,Offices And Clinics Of Dentists,www.harrisorthodontics.com
Mary T Murphy School,14 Brushy Plain Rd,Branford,CT,06405-6039,New Haven,Not in Sample,Not in Sample,Anthony Bouno,Principal,84,0,Educational Services (Services),8211,Elementary And Secondary Schools,www.branford.k12.ct.us
Brakeley Briscoe,51 Locust Ave # 204,New Canaan,CT,06840-4739,Fairfield,Not in Sample,Not in Sample,George Brakeley,Owner,35,0,Social Services (Services),8399,"Social Services, Nec",www.brakeley.com
Holy Trinity Lutheran Church,406 White Plains Rd,Trumbull,CT,06611-4855,Fairfield,Not in Sample,Not in Sample,Linda Krast,Religious Leader,4,0,Membership Organizations (Organizations),8661,Religious Organizations,www.htlctrumbull.org
Marcus Associates,2 Ivy Knls,Westport,CT,06880-2326,Fairfield,Not in Sample,Not in Sample,Dan Marcus,Owner,1,0,Miscellaneous Establishments,9999,Nonclassifiable Establishments,www.marcuscomm.com
Sally Goodman Antiques,901 Whalley Ave,New Haven,CT,06515-1728,New Haven,Not in Sample,Not in Sample,Steven Goodman,Owner,2,179520,Miscellaneous Retail (Stores),5932,Used Merchandise Stores,www.sallygoodman.com
Porta Door Co,65 Cogwheel Ln,Seymour,CT,06483-3919,New Haven,Not in Sample,Not in Sample,Peter Romanos,Owner,25,4617200,Wood and Lumber Products other than Furniture (Products),2431,Millwork,www.portadoor.com
Filter Sales & Svc Inc,15 Kimberly Ave,West Haven,CT,06516-3825,New Haven,Not in Sample,Not in Sample,John Mc Padden,Manager,14,1580800,Gasoline Service Stations and Automotive Dealers (Automotive),5531,Auto And Home Supply Stores,www.filtersales.com
Mail Center Svc MCS Inc,135 Island Brook Ave,Bridgeport,CT,06606-5132,Fairfield,Not in Sample,Not in Sample,Chris Marcucio,Owner,4,541440,Motor Freight Transportation (Transportation),4212,"Local Trucking, Without Storage",www.mcscourier.com
Today's TEC Inc,1251 S Broad St,Wallingford,CT,06492-1737,New Haven,Not in Sample,Not in Sample,Robert Allan,Manager,5,836000,Educational Services (Services),8299,"Schools And Educational Services, Nec",www.todaystec.com
St Mark's Lutheran Church,10 Jetland St,Bridgeport,CT,06605-3339,Fairfield,Not in Sample,Not in Sample,Jonathan Hevita,Religious Leader,1,0,Membership Organizations (Organizations),8661,Religious Organizations,www.stmarks-lutheran.com
Hatch & Bailey Co,34 Fahey St,Stamford,CT,06907-2299,Fairfield,Not in Sample,Not in Sample,Greg Branecky,Manager,14,3387540,"Mobile Home Dealers, Garden Supply, Building Materials and Hardware (Construction)",5211,Lumber And Other Building Materials,www.hatchandbailey.com
Paul Mellon Arts Ctr,333 Christian St,Wallingford,CT,06492-3818,New Haven,Not in Sample,Not in Sample,Paul J Tines,Executive Director,41,0,Educational Services (Services),8211,Elementary And Secondary Schools,www.choate.edu
J Timothy Deakin,48 North St # 2,Danbury,CT,06810-5620,Fairfield,Not in Sample,Not in Sample,J Timothy Deakin,,2,330660,Legal Services (Services),8111,Legal Services,www.deakinlaw.com
Statlistics Inc,11 Lake Avenue Ext # 3,Danbury,CT,06811-5258,Fairfield,Not in Sample,Not in Sample,Donna Buckner,Manager,46,6027840,Business Services (Services),7331,Direct Mail Advertising Services,www.statlistics.com
Hariton Machinery Co,810 Union Ave,Bridgeport,CT,06607-1137,Fairfield,Not in Sample,Not in Sample,Mark Hariton,Owner,15,5197920,Wholesale Trade - Durable Goods (Products),5085,Industrial Supplies,www.haritonmachinery.com
Hawk Photography & Video,8 Bossy Ln,Wilton,CT,06897-4601,Fairfield,Not in Sample,Not in Sample,,,2,149480,Personal Services (Services),7221,"Photographic Studios, Portrait",www.hawkphotography.net
Stran Technologies,39 Great Hill Rd,Naugatuck,CT,06770-2225,New Haven,Not in Sample,Not in Sample,Paul Pronovost,Manager,49,7821000,"Engineering, Management, Accounting, Research and Related Industries (Services)",8711,Engineering Services,www.strantech.com
Choice Pet Supply,44 Amogerone Pl,Greenwich,CT,06830-5517,Fairfield,Not in Sample,Not in Sample,George Bradley,Manager,3,410040,Miscellaneous Retail (Stores),5999,"Miscellaneous Retail Stores, Nec",www.choicepet.com
Pembroke School,34 1/2 Pembroke Rd,Danbury,CT,06811-2939,Fairfield,Not in Sample,Not in Sample,William Kilcourse,Principal,62,0,Educational Services (Services),8211,Elementary And Secondary Schools,www.danbury.k12.ct.us
Chatfield Power Taylor Rental,190 Main St S,Southbury,CT,06488-2299,New Haven,Not in Sample,Not in Sample,Chuck Berger Jr,Manager,11,2174040,Business Services (Services),7359,"Equipment Rental And Leasing, Nec",www.chatfieldpower.com
PATIO.COM,911 Hope St,Stamford,CT,06907-2318,Fairfield,Not in Sample,Not in Sample,Philip Ross,Owner,19,2930400,Miscellaneous Retail (Stores),5941,Sporting Goods And Bicycle Shops,www.patio.com
Connecticut Food Bank Inc,150 Bradley St,East Haven,CT,06512-1407,New Haven,Not in Sample,Not in Sample,Nancy L Carrington,Executive Director,32,0,Social Services (Services),8399,"Social Services, Nec",www.ctfoodbank.org
Cos Cob Liquor Store Inc,130 E Putnam Ave,Cos Cob,CT,06807-2701,Fairfield,Not in Sample,Not in Sample,George Smith,Owner,4,913040,Miscellaneous Retail (Stores),5921,Liquor Stores,www.coscobliquor.com
Home Inspection Inst-America,314 Main St # 2,Wallingford,CT,06492-2265,New Haven,Not in Sample,Not in Sample,Charles Champagne,Executive Director,4,0,Educational Services (Services),8222,Junior Colleges,www.inspecthomes.com
Greenfield Hill Congregational,1045 Old Academy Rd,Fairfield,CT,06824-2099,Fairfield,Not in Sample,Not in Sample,David J Rowe,Religious Leader,3,0,Membership Organizations (Organizations),8661,Religious Organizations,www.greenfieldhillchurch.com
Splash Hand Wash Of Darien,1421 Post Rd,Darien,CT,06820-5419,Fairfield,Not in Sample,Not in Sample,Jose Cruz,Manager,16,723240,"Automotive Services, Parking and Repair (Automotive)",7542,Carwashes,www.splashcarwashes.com
County Line Buick Nissan,2191 Straits Tpke,Middlebury,CT,06762-1800,New Haven,Not in Sample,Not in Sample,Marrissa Salsbury,Owner,62,40353390,Gasoline Service Stations and Automotive Dealers (Automotive),5511,New And Used Car Dealers,www.countylineauto.com
Dooney & Bourke Inc,15 Executive Blvd,Orange,CT,06477-3621,New Haven,Not in Sample,Not in Sample,Scott Gavitt,Manager,22,3488400,Leather and Leather Products (Products),3171,Women's Handbags And Purses,www.dooney.com
Independent Financial Cnsltng,209 Boston Post Rd # 310,Milford,CT,06460-3161,New Haven,Not in Sample,Not in Sample,Richard Forzano,Owner,5,2095750,"Commodity and Security Brokers, Exchanges, Services and Dealers (Finance)",6282,Investment Advice,www.ifclink.com
707 On Main,707 Main St,Monroe,CT,06468-2810,Fairfield,Not in Sample,Not in Sample,Laurie Champagne,Owner,31,1344000,Eating and Drinking Establishments (Food),5812,Eating Places,www.707onmain.net
Getaway Travel,68 Forestview Dr,Wolcott,CT,06716-1828,New Haven,Not in Sample,Not in Sample,Mary Jo La Chance,Owner,2,137740,Transportation Services (Services),4724,Travel Agencies,www.getaway-today.com
American Marketing Svc,24 Middlebrook Farm Rd,Wilton,CT,06897-2014,Fairfield,Not in Sample,Not in Sample,Zachary Sachs,Owner,4,568560,Business Services (Services),7331,Direct Mail Advertising Services,www.fairfieldsfinest.com
Frc Mfg LLC,1795 Stratford Ave,Stratford,CT,06615-6442,Fairfield,Not in Sample,Not in Sample,Frederick Kinzler,Manager,49,7821000,"Engineering, Management, Accounting, Research and Related Industries (Services)",8711,Engineering Services,www.frankroth.com
Schmitt Sussman Enterprises,155 Broad St,Milford,CT,06460-4726,New Haven,Not in Sample,Not in Sample,Stanley Sussman,President,5,1615000,"Engineering, Management, Accounting, Research and Related Industries (Services)",8742,Management Consulting Services,www.membersresources.net
Dominick Fuel Inc,116 S Main St,Norwalk,CT,06854-3695,Fairfield,Not in Sample,Not in Sample,Joe Dominick,Owner,17,65067600,Wholesale Trade - Non-Durable Goods (Products),5172,"Petroleum Product Wholesalers,Except Bulk Stations/Terminals",www.dominickfuel.com
Connecticut Orthopaedic Spec,450 Boston Post Rd # 201,Guilford,CT,06437-2966,New Haven,Not in Sample,Not in Sample,,,16,1666170,Health Services (Services),8021,Offices And Clinics Of Dentists,www.ct-ortho.com
Criscione Electric Inc,79 Carroll Ave,Bridgeport,CT,06607-2316,Fairfield,Not in Sample,Not in Sample,Barbara Criscione,Owner,19,2059200,Construction - Special Trade Contractors (Construction),1731,Electrical Work,www.criscione.com
Ralph MT Johnson School,500 Whittlesey Dr,Bethel,CT,06801-1532,Fairfield,Not in Sample,Not in Sample,Clara Hines,Principal,78,0,Educational Services (Services),8211,Elementary And Secondary Schools,www.bethel.k12.ct.us
Vitamin Shoppe,21 Federal Rd,Brookfield,CT,06804-2505,Fairfield,Not in Sample,Not in Sample,Stephanie Campbell,Manager,9,1372800,Food Stores (Food),5499,Miscellaneous Food Stores,www.vitaminshoppe.com
Integrated Business Info,22 Colonial Pl,New Haven,CT,06515-2006,New Haven,Not in Sample,Not in Sample,Michael Schneider,Owner,1,150720,Business Services (Services),7371,Custom Computer Programming Services,www.ibisl.com
Leasing Technologies Intl,221 Danbury Rd,Wilton,CT,06897-4007,Fairfield,Not in Sample,Not in Sample,,,4,2417240,Holding and Other Investment Offices (Offices),6799,"Investors, Nec",www.ltionthenet.com
Interim Healthcare,541 Wolcott St,Waterbury,CT,06705-1334,New Haven,Not in Sample,Not in Sample,Eric Peterson,Manager,170,8153600,Health Services (Services),8082,Home Health Care Services,www.interim.com
Nitech Inc,97 Cascade Blvd,Milford,CT,06460-2849,New Haven,Not in Sample,Not in Sample,Dominic Orifice,Plant Mgr,12,3166350,"Watches and Clocks, Measurement, Analyzer and Control Instruments, and Photo and Medical Goods (Products)",3825,Instruments To Measure Electricity,www.usi-power.com
Co Ex Corp,5 Alexander Dr,Wallingford,CT,06492-2429,New Haven,Not in Sample,Not in Sample,Robert Russell,Owner,12,1822040,Rubber and Miscellaneous Plastic Products (Products),3089,"Plastics Products, Nec",www.co-excorp.com
Vanguard Partners,14 Hobby Dr,Ridgefield,CT,06877-1923,Fairfield,Not in Sample,Not in Sample,Roy E Johnson,Owner,2,333200,"Engineering, Management, Accounting, Research and Related Industries (Services)",8742,Management Consulting Services,www.caplix.com
Elkanah Mead Agency Inc,87 Greenwich Ave # 2,Greenwich,CT,06830-5521,Fairfield,Not in Sample,Not in Sample,Richard C Wellington,Owner,14,1563540,"Insurance Brokers, Agents and Services (Insurance)",6411,"Insurance Agents, Brokers, And Service",www.greenwichinsurance.com
Guilford Mortgage Svc,1445 Boston Post Rd # 3,Guilford,CT,06437-4338,New Haven,Not in Sample,Not in Sample,Joseph Castelli,Owner,7,1576080,Non-Depository Credit Institutions (Credit),6162,Mortgage Bankers And Loan Correspondents,www.guilfordmortgage.com
Greenfield Aviation LLC,Hangar 1,Stratford,CT,06614-0000,Fairfield,Not in Sample,Not in Sample,Robert Tod,Manager,4,909000,"Engineering, Management, Accounting, Research and Related Industries (Services)",8748,"Business Consulting, Nec",www.aircraftmg.com
Ansonia Board Of Education,42 Grove St,Ansonia,CT,06401-1798,New Haven,Not in Sample,Not in Sample,Edward Favolise,Administrator,280,0,Educational Services (Services),8211,Elementary And Secondary Schools,www.ansonia.org
Mulvaney Mechanical Inc,4 W Kenosia Ave # A,Danbury,CT,06810-7337,Fairfield,Not in Sample,Not in Sample,George Mulvaney,Owner,23,3577000,Construction - Special Trade Contractors (Construction),1711,"Plumbing, Heating, Air-Conditioning",www.mulvaneymechanical.com
Cly-Del Mfg Co,151 Sharon Rd,Waterbury,CT,06705-4040,New Haven,Not in Sample,Not in Sample,Robert W Garthwait Jr,President,220,31200000,Fabricated Metal Products other than Transport and Machinery Equipment (Equipment),3469,"Metal Stampings, Nec",www.cly-del.org
Custom Accounting,41 Wolfpit Ave,Norwalk,CT,06851-4245,Fairfield,Not in Sample,Not in Sample,,,4,424360,"Engineering, Management, Accounting, Research and Related Industries (Services)",8721,"Accounting, Auditing, And Bookkeeping",www.customaccounting.net
Shelton Tool Corp,1100 Boston Ave,Bridgeport,CT,06610-2654,Fairfield,Not in Sample,Not in Sample,Robert B Lederer,President,380,61304000,Business Services (Services),7311,Advertising Agencies,www.primeworld.com
Max-Bar Tools Inc,396 Chase River Rd,Waterbury,CT,06704-1401,New Haven,Not in Sample,Not in Sample,William Fountaine,Owner,1,175440,Fabricated Metal Products other than Transport and Machinery Equipment (Equipment),3423,"Hand And Edge Tools, Nec",www.max-bar.com
Green-Thumb Lawns,1113 Roxbury Rd,Southbury,CT,06488-1238,New Haven,Not in Sample,Not in Sample,Timothy O'Neil,Owner,1,85680,Agricultural Services (Services),782,Lawn And Garden Services,www.perennialflower.com
Cunningham Systems Corp,53 Pinesbridge Rd,Oxford,CT,06478-1414,New Haven,Not in Sample,Not in Sample,William A Cunningham,President,6,1088010,Business Services (Services),7371,Custom Computer Programming Services,www.cunninghamsystems.com
KEYWORDPERFORMANCE.COM,80 S Main St # 2,Wallingford,CT,06492-4222,New Haven,Not in Sample,Not in Sample,Thomas Lee,Owner,4,618120,Business Services (Services),7374,Data Processing And Preparation,www.keywordperformance.com
Sokana Chartering Inc,1 Gorham Island Rd,Westport,CT,06880-3212,Fairfield,Not in Sample,Not in Sample,Lars Ebbesen,Owner,2,625100,Business Services (Services),7389,"Business Services, Nec",www.sokana.com
New England Orthotic-Prosthetc,469 W Main St # 106,Branford,CT,06405-3400,New Haven,Not in Sample,Not in Sample,Patrick Donnolly,Owner,3,779880,Miscellaneous Retail (Stores),5999,"Miscellaneous Retail Stores, Nec",www.neops.com
Fairfield Financial Svc,421 Meadow St,Fairfield,CT,06824-5307,Fairfield,Not in Sample,Not in Sample,Peter Nagle,Owner,2,805100,"Commodity and Security Brokers, Exchanges, Services and Dealers (Finance)",6282,Investment Advice,www.fairfieldfinancial.net
Emery Winslow Scale Co,73 Cogwheel Ln,Seymour,CT,06483-3919,New Haven,Not in Sample,Not in Sample,William K Fischer,President,19,9900000,Wholesale Trade - Durable Goods (Products),5046,"Commercial Equipment, Nec",www.emerywinslow.com
George Harte Nissan,426 Derby Ave,West Haven,CT,06516-1004,New Haven,Not in Sample,Not in Sample,George Harte,Owner,43,27810000,Gasoline Service Stations and Automotive Dealers (Automotive),5511,New And Used Car Dealers,www.harteautogroup.com
Integrated Security Systems,43 Miry Brook Rd,Danbury,CT,06810-7407,Fairfield,Not in Sample,Not in Sample,John Colley,Owner,21,13291600,Wholesale Trade - Durable Goods (Products),5063,Electrical Apparatus And Equipment,www.securityiss.com
Information Holdings Inc,2777 Summer St # 602,Stamford,CT,06905-4318,Fairfield,Not in Sample,Not in Sample,,,520,83035140,Business Services (Services),7371,Custom Computer Programming Services,www.informationholdings.com
Advance Auto Parts,32 Rubber Ave,Naugatuck,CT,06770-4117,New Haven,Not in Sample,Not in Sample,Jim Pierce,Manager,16,2035280,Gasoline Service Stations and Automotive Dealers (Automotive),5531,Auto And Home Supply Stores,www.advanceautoparts.com
Thomson Learning,200 Stamford Pl,Stamford,CT,06902-6753,Fairfield,Not in Sample,Not in Sample,Ronald H Schlosser,CEO,11560,0,"Publishing, Allied and Printing Industries (Industries)",2741,Miscellaneous Publishing,www.thomsoncenter.com
BNSF Railway Co,1 Spring St,Hardy,AR,72542-8805,Sharp,Not in Sample,Not in Sample,,,5,1570400,Railroad Transportation (Transportation),4011,"Railroads, Line-Haul Operating",
Mueller Industries,10 Hershey Dr,Ansonia,CT,06401-2312,New Haven,Not in Sample,Not in Sample,Frank Gilligan,Manager,11,1886400,Miscellaneous Manufacturing Industries (Industries),3999,"Manufacturing Industries, Nec",www.muellerindustries.com
Harkness Industries Inc,50 Grandview Ct,Cheshire,CT,06410-1261,New Haven,Not in Sample,Not in Sample,Bob Williams,President,18,3463680,Rubber and Miscellaneous Plastic Products (Products),3089,"Plastics Products, Nec",www.harknessindustries.com
Classic Connection Fine Camera,3 Research Dr,Woodbridge,CT,06525-2348,New Haven,Not in Sample,Not in Sample,Sam Shoshan,Owner,4,1644280,Miscellaneous Retail (Stores),5961,Catalog And Mail-Order Houses,www.classicconnection.com
Paul C Higgins Inc,250 State St # B1,North Haven,CT,06473-2163,New Haven,Not in Sample,Not in Sample,Del Cade,Owner,6,1204740,"Insurance Brokers, Agents and Services (Insurance)",6411,"Insurance Agents, Brokers, And Service",www.pchiggins.com
Graduate Club Assn,155 Elm St,New Haven,CT,06511-6609,New Haven,Not in Sample,Not in Sample,Sandra Gervais,Manager,24,0,Membership Organizations (Organizations),8641,Civic And Social Associations,www.graduateclub.com
Diversified Technology Conslnt,556 Washington Ave,North Haven,CT,06473-1136,New Haven,Not in Sample,Not in Sample,Sam Giavara,President,101,15958000,"Engineering, Management, Accounting, Research and Related Industries (Services)",8711,Engineering Services,www.teamdtc.com
Burning Tree Country Club Inc,120 Perkins Rd,Greenwich,CT,06830-3597,Fairfield,Not in Sample,Not in Sample,John W Schoellner,Manager,140,8038800,Amusement and Recreation Services (Services),7997,Membership Sports And Recreation Clubs,www.burningtreecc.org
Southwick & Meister Inc,1455 N Colony Rd,Meriden,CT,06450-1979,New Haven,Not in Sample,Not in Sample,Ernest M Meister,President,140,34047000,Commercial and Industrial Machinery and Computer Equipment (Equipment),3541,"Machine Tools, Metal Cutting Type",www.s-mcollets.com
William Raveis Real Estate,426 Main St,Ridgefield,CT,06877-4559,Fairfield,Not in Sample,Not in Sample,Karen Krotki,Manager,49,6758960,Real Estate (Housing),6531,Real Estate Agents And Managers,www.raveis.com
Pumpkin Preschool Of Westport,15 Burr Rd,Westport,CT,06880-4220,Fairfield,Not in Sample,Not in Sample,Kim Slimak,Owner,29,830180,Social Services (Services),8351,Child Day Care Services,www.pumpkinpreschool.com
Fabric Tree,19 Sugar Hollow Rd,Danbury,CT,06810-7419,Fairfield,Not in Sample,Not in Sample,Anita Ayoob,Owner,5,450450,Miscellaneous Retail (Stores),5949,"Sewing, Needlework, And Piece Goods",www.fabrictree.com
United Systems Inergrators,281 Tresser Blvd,Stamford,CT,06901-3242,Fairfield,Not in Sample,Not in Sample,Ed Mc Laughlan,CEO,48,6566000,Real Estate (Housing),6531,Real Estate Agents And Managers,www.usirealestate.com
Bijou Corp,11 Largo Dr S,Stamford,CT,06907-2332,Fairfield,Not in Sample,Not in Sample,,,0,0,Miscellaneous Establishments,9999,Nonclassifiable Establishments,www.thecottageshop.com
Lady Olga's Lingerie,3490 Whitney Ave,Hamden,CT,06518-1936,New Haven,Not in Sample,Not in Sample,Jeniene Ferguson,Owner,4,509040,Apparel and Accessory Stores (Stores),5632,Women's Accessory And Specialty Stores,www.ladyolga.com
New Haven Register,40 Sargent Dr,New Haven,CT,06511-5939,New Haven,Not in Sample,Not in Sample,Kevin F Walsh,CEO,480,0,"Publishing, Allied and Printing Industries (Industries)",2711,Newspapers,www.ctcentral.com
Amphenol Spectra-Strip,720 Sherman Ave,Hamden,CT,06514-1146,New Haven,Not in Sample,Not in Sample,Bill Pendleton,Plant Mgr,0,1287000000,"Electrical, Electronic and Components other than Computer Equipment (Equipment)",3643,Current-Carrying Wiring Devices,www.amphenol.com
A2Z Medical Supply,1 Padanaram Rd,Danbury,CT,06811-4887,Fairfield,Not in Sample,Not in Sample,Laura Warner,Owner,13,7247760,Wholesale Trade - Durable Goods (Products),5047,Medical And Hospital Equipment,www.a2zmedicalsupply.com
SEB Asset Management,263 Tresser Blvd # 10,Stamford,CT,06901-3216,Fairfield,Not in Sample,Not in Sample,Anders Ekernas,Owner,17,7395300,"Commodity and Security Brokers, Exchanges, Services and Dealers (Finance)",6282,Investment Advice,www.sebank.se
G M Tool & Die Co,652 Glenbrook Rd # 8,Stamford,CT,06906-1410,Fairfield,Not in Sample,Not in Sample,Gus Montoya,President,27,5587200,Primary Metal Industries (Industries),3369,"Nonferrous Foundries, Nec",www.molding.com
Boots Healthcare USA,177 Broad St,Stamford,CT,06901-5003,Fairfield,Not in Sample,Not in Sample,Bill Bell,President,20,3121200,"Engineering, Management, Accounting, Research and Related Industries (Services)",8742,Management Consulting Services,www.bhinc.com
Codata Service Inc,174 Cherry St,Milford,CT,06460-3415,New Haven,Not in Sample,Not in Sample,Geoff Coffin,Owner,8,1152410,Business Services (Services),7378,Computer Maintenance And Repair,www.codata.com
Madison Town Adm Dept,8 Campus Dr,Madison,CT,06443-2562,New Haven,Not in Sample,Not in Sample,,,0,0,"Legislative, Executive and General Government other than Finance (Government)",9121,Legislative Bodies,www.madisonyouthservices.org
Dunkin Donuts,1101 E Main St,Meriden,CT,06450-4819,New Haven,Not in Sample,Not in Sample,Ada Quinones,Manager,3,376320,Food Stores (Food),5461,Retail Bakeries,www.dunkindonuts.com
Landmark Financial Group,760 Kings Hwy W # 2,Southport,CT,06890-1107,Fairfield,Not in Sample,Not in Sample,Peter Ventriglia,Owner,31,6029700,Non-Depository Credit Institutions (Credit),6162,Mortgage Bankers And Loan Correspondents,www.landmark-mortgage.com
Connex International,100 Sawmill Rd,Danbury,CT,06810-5106,Fairfield,Not in Sample,Not in Sample,Debra Volansky,President,19,1861200,Business Services (Services),7389,"Business Services, Nec",www.connexintl.com
Teddy Bear Corner,414 Greenfield St,Fairfield,CT,06825-4406,Fairfield,Not in Sample,Not in Sample,Dawn Tagliavia,Executive Director,28,845370,Social Services (Services),8351,Child Day Care Services,www.teddybearcorner.com
Country Gardens,34 Padanaram Rd,Danbury,CT,06811-4826,Fairfield,Not in Sample,Not in Sample,Douglas Tim,Owner,5,346800,Miscellaneous Retail (Stores),5992,Florists,www.countrygardens.org
First District Water Dept,12 New Canaan Ave,Norwalk,CT,06851-6135,Fairfield,Not in Sample,Not in Sample,,,21,4801020,"Gas, Electric and Sanitary Services (Services)",4941,Water Supply,www.norwalkfdwd.com
Center For Hair Transplant,1305 Post Rd # 310,Fairfield,CT,06824-6016,Fairfield,Not in Sample,Not in Sample,Judy Barrero,Manager,8,3254350,Health Services (Services),8011,Offices And Clinics Of Medical Doctors,www.dricohen.com
Investment One,45 Connair Rd,Orange,CT,06477-3650,New Haven,Not in Sample,Not in Sample,Todd Haggerty,Owner,49,9850500,Non-Depository Credit Institutions (Credit),6162,Mortgage Bankers And Loan Correspondents,www.investmentonellc.com
Kohl's,100 Hawley Ln,Trumbull,CT,06611-5330,Fairfield,Not in Sample,Not in Sample,Barry Coleman,Manager,140,21481200,General Merchandise Stores (Stores),5311,Department Stores,www.kohls.com
Betty W Belin,P.O. BOX 877,Mc Gehee,AR,71654-0877,Desha,Not in Sample,Not in Sample,Betty Belin,President,5,190000,Personal Services (Services),7291,Tax Return Preparation Services,
